Original Text,Relevant Noun,Relevant Lemma
"PPi-phosphofructokinase characterized . The major goal of this co-ordinated , multidisciplinary program is to test the in vivo efficacy of novel immunogens / vaccines in two animal models prior to their evaluation in man . These immunogens would be derived from",immunogens,immunogen
"five institutions . We believe this consortium will provide the right combination of talent , facilities , expertise , and novel approaches to facilitate the design and refinement of an AIDS vaccine . The overall goal of this comprehensive National Cooperative",approaches,approach
tetrahydrofolate that are inhibitors of combinations of antifolates with DNA interacting agents . The synthesis and evaluation are proposed of novel classes of intercalating agents with alkylating capability that are among those already developed in this program that potently inhibit either,classes,class
"( chMabs ) against receptors for epidermal growth factor ( EGF - R ) and melanotransferrin ( MTr ) ; novel chimeric antibody - interleukin - 2 and tumor necrosis factor fusion proteins , bispecific antibodies recognizing EGF - R or",proteins,protein
"I presents an overview and an administrative budget . Project II deals with the development of chimeric recombinant Mabs and novel fusion proteins , consisting of chimeric Mab and cytokines or growth factors . In Projects III and IV , the",proteins,protein
of the various hybrid chimeric antibody - fusion proteins . It is anticipated that the proposed experiments will lead to novel anti-cancer models and to new cancer treatment modalities that can be evaluated in future phase I clinical trials with those,models,model
future phase I clinical trials with those chimeric Mabs and their recombinant constructs that show promise of anti-tumor effects in novel animal models of spontaneous metastasis of human malignant melanoma . The overall objective of this project is to develop novel,models,model
novel animal models of spontaneous metastasis of human malignant melanoma . The overall objective of this project is to develop novel monoclonal antibody radionuclide conjugates and to increase potential of anti-tumor efficacy of radiolabeled MAb GA22 - 2 directed against the,conjugates,conjugate
"detection , prognosis , prevention and treatment of urothelial cancers . The focus of this application is the development of novel derivatives of dideoxynucleosides and 6 - anilinouracils for the treatment of specific forms of lymphoblastic leukemia and lymphoma . We",derivatives,derivative
after being rendered TdT -positive by a DOL retroviral expression vector . In this application we propose the development of novel derivatives of both classes with more potent cytotoxic characteristics than the lead compounds we have so far identified . We,derivatives,derivative
"Grant are directed at the regulation of both leukemic and normal hematopoietic cell growth and differentiation and the development of novel immunotherapy , chemotherapy and transplantation treatment programs for adult and childhood leukemia and lymphoma . The basic studies include the",immunotherapy,immunotherapy
the Gene for the Human Stem Cell Antigen CD34 in Normal and Leukemic Cells ( Tenen ) ; All ) Novel Lymunotherapeutic Strategies ( Schlossman and Breitmeyer ) . There are three major clinical research projects and they include ; B2,Strategies,strategy
"metacyclogenesis , the LPG is developmentally modified such that it no longer binds the lectin PNA , it expresses a novel carbohydrate epitope , and the number of phosphorylated saccharide units expressed increases 2 - 3 fold . Immunogold labeling of",epitope,epitope
retrovirus is approximately 20 - fold slower than previous estimates reported in the literature . We have recently identified a novel sialoglycoprotein present in human blood and body fluids . This protein has a molecular mass of 120 k Da (,sialoglycoprotein,sialoglycoprotein
"several different virus-specified components . Because of this it seems likely that as we learn more about assembly , many novel targets for anti HIV drugs will emerge . Although the overall outline of HIV assembly is understood , many of",targets,target
"used in monitoring physiological and pathophysiological properties of isolated cardiac myocytes and intact cardiac tissue . This project developed a novel time resolved system for cytosolic pH measurements using the recently synthesized intracellular pH indicator , SNARF - 1 , seminaphthorhodalfluor",time,time
"successful "" aging and reduction of frailty risk in older persons . The intervention studies proposed in this application are novel , conceptually different , therapeutic exercise approaches that promise , based on preliminary data , to reduce the loss of",studies,study
"will delineate operational definitions of frailty within biomedical , behavioral and environmental domains and systematically examine the effects of these novel exercise interventions versus a control condition on our conceptualization of frailty in elderly subjects over a 15 - week study",interventions,intervention
"such as JEAP will be contrasted with control pseudowords such as JELP , providing tests for how the processing of novel letter strings is affected by adult age . Existing empirical work on lexical processing and adult aging is narrowly focused",strings,string
recombinant viruses can then be used to express proteins in a variety of tissue culture cells or animals . A novel modification of the recombinant vaccinia virus expression system which utilizes the bacteriophage T7 RNA polymerase and T7 transcriptional regulatory signals,modification,modification
of bacterial gram negative infections . A more complete understanding of its complement resistance determinants may lead to improved or novel modalities for therapeutic intervention as well as an insight as to the mechanism of complement 's action . The experimental,modalities,modality
